,,Accuracy,MACC
SO,StockSentimentRNN,0.4745762711864407,-0.13730476750355963
SPLP,StockRNN,0.5423728813559322,0.15869860025533672
SPLP,StockLSTM,0.6101694915254238,0.13779198349559355
SPLP,StockSentimentRNN,0.5084745762711864,0.10462997651610892
SRE,StockRNN,0.4406779661016949,-0.047324311668365475
SRE,StockLSTM,0.4406779661016949,0.0
SRE,StockSentimentRNN,0.4576271186440678,0.024931919733558856
T,StockRNN,0.4067796610169492,-0.16783218203174283
T,StockLSTM,0.4745762711864407,0.011226255234242723
T,StockSentimentRNN,0.4745762711864407,0.021398024625545645
TM,StockRNN,0.5423728813559322,0.17812132666201708
TM,StockLSTM,0.4745762711864407,-0.020164678490039667
TM,StockSentimentRNN,0.5084745762711864,0.06746752425931443
TOT,StockRNN,0.7457627118644068,0.4352176632610566
TOT,StockLSTM,0.576271186440678,0.13593640417013383
TOT,StockSentimentRNN,0.7457627118644068,0.443717368159232
TSM,StockRNN,0.6101694915254238,0.296564709564789
TSM,StockLSTM,0.576271186440678,0.22854417370803312
TSM,StockSentimentRNN,0.5423728813559322,0.17744221203584956
UL,StockRNN,0.4067796610169492,-0.18605909041238622
UL,StockLSTM,0.5084745762711864,0.0
UL,StockSentimentRNN,0.4915254237288136,-0.016110482473596893
UN,StockRNN,0.559322033898305,0.15497115227072963
UN,StockLSTM,0.6610169491525424,0.3233603982200519
UN,StockSentimentRNN,0.5932203389830508,0.2102697219539028
UNH,StockRNN,0.4406779661016949,-0.12355691149101079
UNH,StockLSTM,0.5084745762711864,0.051387023098543955
UNH,StockSentimentRNN,0.4406779661016949,-0.11967786980386264
UPS,StockRNN,0.5423728813559322,0.08660061122614579
UPS,StockLSTM,0.576271186440678,0.16971204394043224
UPS,StockSentimentRNN,0.5084745762711864,0.006713829120923007
UTX,StockRNN,0.4406779661016949,-0.07288701489582294
UTX,StockLSTM,0.423728813559322,-0.09817025841567108
UTX,StockSentimentRNN,0.4745762711864407,0.0039046615122762295
V,StockRNN,0.559322033898305,0.1913441299463057
V,StockLSTM,0.4745762711864407,-0.10646695683025933
V,StockSentimentRNN,0.5423728813559322,0.10150355542254672
VZ,StockRNN,0.576271186440678,0.1761264737760181
VZ,StockLSTM,0.6101694915254238,0.23179604232410683
VZ,StockSentimentRNN,0.576271186440678,0.1448091094988785
WFC,StockRNN,0.559322033898305,0.12355691149101079
WFC,StockLSTM,0.5932203389830508,0.18035210484058706
WFC,StockSentimentRNN,0.5254237288135594,0.06369696339435807
WMT,StockRNN,0.5423728813559322,0.0960316402397931
WMT,StockLSTM,0.4915254237288136,-0.09516923575044951
WMT,StockSentimentRNN,0.5423728813559322,0.0960316402397931
XOM,StockRNN,0.5084745762711864,-0.14751385842355658
XOM,StockLSTM,0.5254237288135594,-0.05239477363283321
XOM,StockSentimentRNN,0.4576271186440678,-0.21900128366581903
